CODMUN_LLEGADA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
00000;7809;3;0;6;0;15;6;261;10;11;4;0;37;306;212;1974;954;10050;461;188;780;372;230;33;26;20;23;11;6;6
05001;631;207;53;129;102;241;276;420;404;549;690;833;5743;3409;10283;11221;12173;24496;34194;23337;12352;13837;19127;15874;18266;19074;16635;16566;24437;6939
05002;0;0;3;0;0;0;0;0;8;4;8;10;51;27;26;63;63;343;194;442;297;272;194;130;133;129;61;35;37;11
05004;0;3;4;0;0;6;0;0;5;1;0;0;6;2;34;14;27;175;11;24;13;19;5;6;32;27;25;18;4;0
05021;0;0;0;0;0;0;0;2;0;0;0;9;0;0;7;2;167;229;1355;190;165;57;70;57;42;30;13;24;2;0
05030;0;0;4;0;0;0;0;5;0;4;0;0;3;11;9;31;14;28;23;14;8;30;37;45;27;27;34;33;22;18
05031;0;32;16;2;1;0;60;0;6;21;0;22;15;10;65;82;43;404;138;201;7;48;25;116;61;20;136;79;381;43
05034;0;0;0;0;0;2;1;5;0;12;0;0;8;1;41;43;17;84;27;65;78;52;77;42;47;88;34;52;50;50
05036;0;0;0;0;0;0;0;0;0;0;0;4;5;0;19;56;102;38;23;14;7;17;25;27;26;19;41;6;4;8
05038;0;3;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;417;10;0;9;15;12;15;7;0;1;15;0
05040;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;19;11;10;21;4;11;245;43;123;90;22;27;33;4671;32
05042;1;7;0;0;0;0;0;9;0;6;19;5;27;47;67;55;37;69;69;96;103;66;76;8;84;59;36;26;58;21
05044;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;25;1784;9;14;4;43;9;1;18;21;7;0;1;6
05045;12;99;39;86;78;281;149;204;194;387;535;764;1364;5417;12303;3691;3657;3931;4023;6684;1778;1266;2074;2992;1679;1722;890;692;625;197
05051;0;86;40;73;70;87;211;521;186;380;591;426;1437;429;342;173;179;640;195;88;70;1587;98;111;115;72;82;47;46;35
05055;0;0;0;0;1;0;3;0;0;0;0;0;2;6;14;22;28;156;201;3845;1050;742;2972;2387;207;223;55;12;44;1
05059;0;0;0;0;1;0;0;1;0;0;0;0;5;4;11;6;5;9;4;13;9;24;7;7;8;0;6;0;5;0
05079;0;0;0;0;1;0;1;3;11;0;44;2;15;49;54;38;53;925;232;132;132;104;88;68;115;115;68;35;36;1
05086;0;0;0;0;4;0;0;0;0;10;0;0;5;3;0;21;10;12;1;9;0;0;9;0;12;15;15;5;3;3
05088;30;32;4;8;26;49;16;16;27;85;73;58;187;487;517;754;647;1588;3003;2374;1145;1210;1868;2388;2579;2444;2389;1890;1941;323
05091;0;0;0;0;0;0;0;6;4;23;5;12;23;28;53;53;73;63;24;26;70;40;54;61;33;39;27;27;13;0
05093;0;3;9;3;0;4;8;32;27;16;16;12;21;91;96;126;2091;5120;230;145;130;180;202;150;59;88;123;79;56;21
05101;0;0;0;0;8;8;1;8;4;26;22;6;4;9;40;37;60;79;112;23;42;84;81;38;72;83;48;45;26;3
05107;0;0;0;0;1;0;0;0;0;8;0;0;0;3;2;6;14;378;421;148;32;8;18;77;35;45;30;4;32;30
05113;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;1;0;42;3028;13;14;15;44;1;13;6;22;0;7;5
05120;7;0;1;4;0;0;3;39;23;13;24;50;34;35;92;96;111;256;1127;293;99;202;248;382;346;250;293;280;753;100
05125;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;5;6;33;6;12;16;14;16;45;6;27;26;5;19;3
05129;0;0;0;0;0;10;0;6;13;12;7;6;11;17;71;62;34;227;234;298;121;123;178;152;132;62;59;33;94;31
05134;0;0;0;0;0;6;0;5;0;0;2;0;24;27;27;0;8;94;11;53;18;0;0;10;12;7;16;6;13;3
05138;0;6;0;9;6;29;4;5;21;17;12;12;29;67;93;41;49;333;87;62;59;41;42;34;60;78;95;30;38;9
05142;0;3;0;0;0;0;0;5;0;0;0;0;0;0;6;0;12;6;39;17;7;7;20;0;13;14;6;4;15;0
05145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;7;10;0;22;13;0;6;3;12;21;4;0
05147;0;56;47;27;39;67;57;126;75;129;205;300;698;838;884;999;5799;3141;1752;745;478;480;431;867;893;887;547;336;266;50
05148;0;0;0;0;0;5;0;28;5;5;7;24;27;68;179;128;78;611;446;582;575;383;284;232;244;134;77;70;83;41
05150;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;43;8;68;0;0;0;4;0;1;6;4;2;6
05154;11;14;4;4;4;15;32;36;3;14;24;46;58;39;71;76;198;1083;1682;956;416;1146;1338;880;632;396;639;605;488;212
05172;10;130;57;135;69;119;135;371;216;263;456;566;1533;3106;4927;1560;1138;4276;1490;1921;823;637;681;623;730;862;654;418;449;90
05190;0;0;0;0;0;0;0;0;0;8;0;3;0;18;15;17;14;36;17;15;5;0;23;14;25;25;30;12;54;0
05197;1;5;0;2;2;19;10;8;32;17;27;31;42;36;62;148;184;4099;3321;1681;848;1358;287;232;364;171;116;45;34;9
05206;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;13;224;231;212;48;110;16;29;22;11;18;18;9;7;0
05209;1;0;0;0;0;0;0;7;10;4;0;0;6;4;48;67;10;39;8;22;45;12;18;25;39;8;2;9;1;4
05212;3;1;0;0;8;1;0;4;1;24;5;21;15;17;25;26;10;87;178;218;161;112;144;162;245;145;184;178;154;42
05234;0;2;4;5;1;7;0;8;15;57;14;30;92;309;724;565;434;1372;1253;1126;655;1426;472;459;414;426;281;191;69;38
05237;0;0;0;0;0;0;1;4;0;0;1;6;24;44;31;43;55;45;23;118;93;146;84;59;88;87;59;61;58;18
05240;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;12;2;0;4;8;0;0;2;0;4;12;0;5;0
05250;1;2;0;0;1;10;0;0;16;0;0;1;6;0;5;41;37;2564;1533;901;201;244;815;296;202;116;89;170;115;1
05264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;19;6;17;12;0;14;10;24;10;7;1;12;5
05266;0;0;0;0;0;7;0;4;8;12;7;13;40;42;55;87;52;205;206;170;104;160;131;99;90;112;149;177;154;43
05282;0;0;0;0;0;1;0;5;11;8;0;3;12;3;54;15;14;17;23;28;19;18;12;14;16;16;30;22;23;6
05284;4;2;15;10;19;18;17;26;45;51;67;96;204;520;488;587;421;2156;441;234;265;174;133;116;163;143;105;75;50;27
05306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;19;7;0;0;4;2;2;7;2;3;5;7;0;0;0
05308;7;0;0;0;0;0;0;0;4;2;3;4;11;15;19;36;8;91;219;85;14;45;74;70;81;57;48;44;61;12
05310;0;1;0;0;0;0;5;0;0;0;2;0;0;0;9;10;11;16;6;0;11;20;4;5;15;0;3;19;13;0
05313;5;0;0;0;0;0;0;0;0;3;0;0;0;4;11;299;49;627;1071;4062;690;465;198;217;167;192;39;57;33;27
05315;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;7;3;7;2;18;15;5;0;8;18;4;30;10;0
05318;1;11;0;0;4;0;11;20;0;0;17;5;27;13;37;145;155;85;152;114;114;173;161;94;123;72;77;131;91;19
05321;0;0;0;0;0;0;0;4;0;3;11;0;0;8;0;15;0;73;33;40;32;32;30;12;23;34;7;4;4;0
05347;0;0;0;0;0;3;0;0;0;0;10;6;12;0;11;11;40;149;39;29;12;51;26;6;13;16;0;28;14;12
05353;0;0;0;0;0;0;0;0;0;0;0;12;1;8;11;0;6;14;12;0;5;2;0;8;13;1;10;3;0;0
05360;21;2;0;7;8;14;3;35;19;8;30;37;49;127;196;242;302;719;1223;938;562;555;711;622;538;572;774;483;674;172
05361;0;0;0;2;0;1;4;0;6;6;2;6;3;35;878;1488;55;1298;2316;1165;111;3260;541;245;421;700;264;1568;164;37
