CODMUN_SALIDA;ND;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
00000;12757;14;5;0;1;44;71;288;13;20;9;0;10;60;125;762;2651;9924;1180;305;857;1092;4511;912;111;74;11;20;66;32
05001;217;19;12;25;12;38;57;94;177;214;242;168;297;464;658;782;926;1355;2506;5003;2966;1924;5107;1675;2525;2655;5796;8454;13667;2041
05002;41;2;0;0;3;0;4;15;11;5;10;12;70;33;37;85;229;868;665;1667;773;728;432;353;309;275;58;44;56;10
05004;13;3;13;0;0;10;0;1;5;0;0;10;11;22;24;83;114;46;34;9;33;45;13;9;11;6;3;7;8;1
05021;33;0;0;0;0;1;6;6;2;4;7;4;10;0;10;10;77;530;1871;467;276;68;64;57;59;34;21;11;0;7
05030;3;4;0;0;0;1;0;0;0;34;11;2;20;8;2;18;22;57;118;113;125;26;69;52;22;77;28;13;45;15
05031;87;63;13;6;4;4;8;5;8;23;14;25;48;14;201;327;267;666;431;448;91;138;189;171;148;221;164;125;175;70
05034;21;7;6;3;0;0;14;16;17;24;2;14;42;22;20;56;47;92;252;172;154;153;157;214;205;269;131;59;65;35
05036;55;0;0;0;0;0;10;0;0;0;9;0;0;7;18;132;241;226;128;50;32;47;6;19;48;2;2;1;0;0
05038;7;0;3;0;0;0;0;6;0;10;14;7;4;20;42;29;55;37;515;182;70;48;148;108;62;73;33;31;45;1
05040;56;30;0;5;0;0;1;0;7;10;0;0;10;16;56;101;157;377;2126;306;92;352;174;264;306;568;170;158;5179;105
05042;77;12;0;0;8;0;6;5;14;7;11;15;48;138;162;65;112;81;166;149;212;145;128;99;114;105;34;28;45;33
05044;29;0;1;0;0;0;3;3;9;7;7;6;6;52;15;45;70;2081;54;73;46;72;27;21;26;36;29;18;28;8
05045;1120;126;69;75;73;227;237;214;193;315;762;1297;1517;2787;9697;3234;1970;3341;2761;2738;880;1157;2736;2591;1967;1552;1014;643;701;293
05051;117;187;111;91;143;232;382;1456;401;852;2186;1099;1451;458;2756;556;352;484;670;365;246;223;244;227;278;347;167;103;124;36
05055;70;16;14;12;20;18;29;42;45;12;27;30;90;106;131;166;264;681;641;6095;1485;1515;4053;3133;554;321;36;43;37;19
05059;36;0;0;0;0;0;0;2;0;0;0;0;0;0;6;1;3;15;65;20;1;45;22;2;8;14;14;0;2;17
05079;22;0;0;0;0;0;0;3;5;15;5;7;3;17;13;47;37;953;277;190;80;64;95;113;108;74;39;57;109;20
05086;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;13;9;22;18;11;10;27;0;5;43;16;52;20;3;0
05088;9;0;0;0;0;16;0;16;27;17;25;8;4;21;25;68;29;81;1131;250;135;157;126;225;266;310;314;243;386;101
05091;33;0;0;0;0;9;0;2;23;5;17;48;68;187;167;153;153;71;77;101;38;40;62;39;58;27;14;20;19;9
05093;155;1;0;0;0;16;17;28;20;14;33;22;35;69;99;177;4040;6733;604;646;348;395;258;269;210;370;292;87;50;20
05101;36;5;1;0;0;5;3;24;3;17;16;16;18;74;124;89;104;211;307;165;191;160;130;166;167;110;149;57;16;20
05107;35;7;11;0;4;13;6;2;0;10;22;14;1;10;20;12;33;426;737;368;58;48;159;261;175;416;181;137;246;208
05113;35;0;0;0;0;4;30;15;9;15;5;0;6;6;21;25;25;178;3764;67;44;70;120;78;130;100;21;18;21;21
05120;141;2;1;5;4;0;23;74;26;17;40;95;84;168;224;286;204;387;1186;627;188;382;343;531;464;559;1189;1250;1528;340
05125;14;7;0;0;0;4;4;4;3;29;7;15;26;52;13;91;73;79;126;180;115;123;109;125;98;165;104;115;68;28
05129;11;0;0;1;0;0;0;3;0;2;0;0;0;0;2;11;22;61;91;71;38;86;55;33;58;54;43;46;29;9
05134;48;2;0;0;0;28;20;7;28;4;5;23;19;15;23;25;46;196;148;283;42;106;77;95;144;80;85;89;113;53
05138;230;19;8;3;5;39;93;18;40;40;36;31;79;243;375;450;315;957;606;246;177;223;200;335;297;230;211;146;96;41
05142;8;6;0;0;0;0;0;5;5;11;0;8;0;11;23;18;14;57;21;15;12;35;34;29;31;21;21;20;10;8
05145;6;9;1;0;0;0;2;0;0;0;1;3;2;2;9;4;0;2;55;36;28;37;21;33;36;29;10;12;2;7
05147;147;69;23;14;23;57;23;56;70;141;170;308;739;724;708;1091;406;748;1263;722;375;533;422;392;631;628;286;198;208;49
05148;44;0;0;10;2;0;1;38;26;14;39;106;63;178;470;312;188;353;747;950;867;374;314;196;262;168;66;47;65;4
05150;4;1;0;0;0;0;0;4;0;0;13;1;0;0;2;4;14;47;22;45;0;9;9;12;7;3;0;4;0;6
05154;244;13;6;11;0;13;39;63;23;25;28;35;71;50;60;240;176;311;688;333;243;416;434;459;514;913;2130;2594;1654;167
05172;358;41;9;48;126;94;72;165;153;170;312;351;1025;2885;1753;1175;748;1078;1073;942;413;387;636;635;1141;1363;592;591;841;222
05190;7;0;0;0;0;0;0;0;2;0;7;14;8;18;24;7;4;13;28;21;37;33;56;36;29;31;35;27;51;6
05197;914;23;14;6;28;26;94;62;86;68;101;138;153;127;200;421;536;5190;4751;5314;2421;2956;1238;635;630;313;86;38;72;21
05206;1;0;0;0;0;0;0;0;3;0;5;10;11;20;7;23;507;347;493;145;172;37;38;11;23;15;14;0;16;3
05209;41;1;9;0;0;0;0;10;2;0;1;13;18;28;60;77;68;119;213;167;193;243;115;149;133;168;108;38;24;23
05212;15;0;1;0;0;0;0;7;1;0;0;3;0;1;2;11;14;65;10;15;46;9;25;34;53;29;9;18;24;4
05234;675;11;10;16;32;30;142;32;37;106;80;152;295;804;2757;2608;2050;2496;3396;2594;1133;2676;1498;1316;1240;907;727;396;306;226
05237;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;13;10;0;31;8;8;18;18;6;19;13;5;1;18;11
05240;3;0;0;0;0;0;3;3;0;2;3;0;3;24;12;26;24;44;31;19;20;31;21;13;5;60;9;19;38;17
05250;467;33;0;5;8;28;31;33;11;16;34;58;111;76;224;457;528;3638;4213;2891;814;1060;2107;959;1062;981;883;569;489;118
05264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;1;0;10;8;0;0;12;7;9;12;0;0;0
05266;7;0;0;0;0;7;0;0;0;3;0;5;2;0;4;5;8;6;0;9;14;3;4;2;11;14;4;13;5;5
05282;0;1;0;1;0;0;5;0;0;0;4;7;0;0;7;5;34;16;24;26;38;18;37;26;37;23;12;12;10;0
05284;180;4;26;8;5;12;35;42;30;44;104;104;199;876;835;1265;722;2705;741;334;271;248;337;314;309;304;194;119;154;38
05306;8;0;0;0;0;5;0;0;0;4;0;0;3;24;48;16;5;0;20;6;7;32;30;40;20;11;12;4;0;0
05308;0;0;0;0;0;0;0;0;7;0;0;0;0;1;9;7;7;23;124;48;27;24;22;41;27;15;8;1;36;7
05310;9;0;0;0;0;0;3;0;0;0;2;0;0;0;1;11;2;67;38;52;44;14;37;15;19;8;8;14;24;0
05313;594;14;0;0;0;11;113;10;23;18;34;38;48;31;66;520;374;2815;4378;7810;2438;2096;989;572;321;299;54;8;18;15
05315;9;0;0;5;0;0;16;2;4;8;11;5;4;22;5;23;78;34;70;77;70;27;57;27;21;20;5;53;44;33
05318;14;11;0;0;0;0;0;3;0;3;0;0;0;0;13;101;83;17;39;79;28;80;70;86;25;18;7;12;6;8
05321;13;0;0;0;0;0;4;8;0;11;0;0;0;9;0;19;19;109;143;81;38;30;24;7;17;3;0;0;4;3
05347;120;0;0;0;0;0;0;6;0;0;17;1;2;4;22;29;183;543;174;52;26;23;51;36;37;19;4;12;12;13
05353;3;0;0;0;0;0;0;0;1;1;0;0;0;10;7;4;4;9;11;12;17;6;4;1;3;4;4;0;0;0
05360;0;0;0;0;0;0;0;0;15;3;32;7;9;9;56;6;34;41;41;73;71;25;44;58;154;108;178;375;528;44
05361;233;49;7;4;0;10;27;54;19;23;46;38;62;257;4107;1996;282;1905;3328;1849;790;4234;1585;1135;1180;1610;825;1766;1399;380
05364;11;0;0;4;0;1;5;10;3;4;6;0;8;4;6;8;17;36;96;57;11;25;48;49;53;77;42;19;9;5
05368;0;1;0;0;0;0;0;0;5;0;0;6;0;3;0;13;0;4;25;21;15;18;16;32;0;3;0;7;1;4
05376;11;0;0;4;9;2;0;0;0;6;12;4;4;13;24;63;17;46;81;48;86;127;76;59;106;78;11;12;13;7
05380;6;0;0;0;0;0;0;0;6;8;0;0;3;0;6;11;0;0;6;3;6;6;4;21;19;15;5;10;22;3
05390;0;0;0;0;0;0;0;0;0;2;0;1;0;2;54;12;11;11;31;135;36;22;26;27;10;22;28;1;0;12
05400;6;6;0;0;0;7;3;1;0;7;29;114;79;110;457;330;202;1128;840;673;237;125;147;91;153;99;45;12;9;14
05411;3;0;10;0;0;2;0;10;6;10;2;9;33;38;86;1429;94;61;64;39;35;46;82;51;20;17;28;9;26;3
05425;14;20;8;3;4;3;32;4;18;24;0;0;8;59;59;42;26;44;57;36;94;36;92;96;77;39;48;54;31;11
05440;31;0;0;0;0;0;4;4;5;5;5;1;8;0;9;55;38;355;1022;253;100;105;105;60;103;81;51;22;21;6
05467;55;0;5;0;0;1;0;0;0;0;3;41;9;3;4;83;101;385;519;618;288;108;112;106;71;126;36;16;1;1
05475;22;3;0;0;0;0;0;3;1;3;4;0;3;19;106;67;63;83;1049;407;43;152;127;52;52;60;24;25;21;14
05480;650;139;61;38;54;59;74;81;102;104;139;319;676;2049;10349;6637;2305;2748;1578;734;272;302;785;844;421;657;250;123;156;258
05483;156;5;0;0;5;7;39;19;7;31;35;26;81;222;126;194;636;528;517;791;889;967;1456;4056;1236;419;138;76;68;22
05490;348;161;191;171;170;254;214;338;190;507;878;1933;10129;1301;3007;854;740;689;833;692;340;475;625;507;670;609;336;222;224;64
05495;124;27;1;0;11;15;29;9;14;35;21;16;25;31;84;172;237;493;479;483;159;267;409;501;424;363;564;1704;301;83
05501;0;2;0;0;1;0;0;0;0;4;0;1;0;0;11;6;0;15;3;15;0;34;2;6;12;24;25;3;10;0
05541;20;10;0;1;2;0;0;3;0;0;1;19;13;6;16;25;60;299;973;568;855;142;167;103;102;26;25;24;16;8
05543;42;10;1;0;5;16;15;13;8;16;6;25;21;15;42;125;86;176;11594;129;70;581;97;188;123;124;48;168;35;6
05576;8;0;0;0;0;0;1;0;0;0;5;8;9;35;123;43;56;97;47;33;73;75;51;27;64;27;10;2;4;26
05579;21;53;22;23;20;3;18;41;12;23;19;24;15;52;30;92;62;191;241;283;171;229;225;412;357;497;460;398;376;68
